"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2018","414.80","470.00","470.00","412.70","4.25M","-11.67%"
"06/01/2018","388.90","415.20","415.20","373.30","7.34M","-6.24%"
"07/01/2018","390.20","390.10","405.70","374.30","4.82M","0.33%"
"08/01/2018","386.60","392.90","393.90","350.60","3.04M","-0.92%"
"09/01/2018","370.40","387.00","390.80","353.10","3.22M","-4.19%"
"10/01/2018","379.80","372.40","387.00","357.80","4.14M","2.54%"
"11/01/2018","362.70","379.10","390.00","352.30","2.53M","-4.50%"
"12/01/2018","367.30","363.40","382.00","353.80","1.94M","1.27%"
"01/01/2019","398.20","370.00","419.90","363.00","7.54M","8.41%"
"02/01/2019","393.50","398.20","412.50","368.00","6.36M","-1.18%"
"03/01/2019","409.20","393.50","411.90","384.00","4.11M","3.99%"
"04/01/2019","358.70","409.20","419.70","355.50","4.98M","-12.34%"
"05/01/2019","355.10","358.70","363.50","336.70","2.47M","-1.00%"
"06/01/2019","364.70","355.10","366.00","350.30","1.86M","2.70%"
"07/01/2019","332.40","365.00","365.00","316.00","3.66M","-8.86%"
"08/01/2019","312.00","333.00","337.60","310.20","2.45M","-6.14%"
"09/01/2019","352.40","312.10","364.90","284.70","5.31M","12.95%"
"10/01/2019","317.50","352.40","352.40","310.00","3.18M","-9.90%"
"11/01/2019","318.20","317.00","333.00","301.10","4.43M","0.22%"
"12/01/2019","285.80","328.80","328.80","275.50","2.15M","-10.18%"
"01/01/2020","257.80","280.00","290.00","229.00","5.89M","-9.80%"
"02/01/2020","274.40","258.00","323.90","255.00","9.64M","6.44%"
"03/01/2020","238.80","277.40","277.50","211.00","4.95M","-12.97%"
"04/01/2020","238.80","238.80","238.80","238.80","","0.00%"
"05/01/2020","255.90","239.10","258.80","238.80","260.30K","7.16%"
"06/01/2020","238.80","258.50","263.00","238.80","2.45M","-6.68%"
"07/01/2020","258.50","238.80","261.90","238.80","7.70M","8.25%"
"08/01/2020","318.40","259.00","320.60","253.00","11.52M","23.17%"
"09/01/2020","330.00","320.40","354.70","316.00","7.48M","3.64%"
"10/01/2020","329.70","329.00","344.50","325.00","3.57M","-0.09%"
"11/01/2020","319.10","329.70","339.90","314.60","3.08M","-3.22%"
"12/01/2020","347.10","321.00","357.90","317.10","5.09M","8.77%"
"01/01/2021","371.90","348.00","391.00","344.00","6.29M","7.14%"
"02/01/2021","338.30","371.00","385.00","336.50","4.41M","-9.03%"
"03/01/2021","328.50","342.50","359.00","328.00","3.75M","-2.90%"
"04/01/2021","339.00","330.00","345.00","315.10","1.99M","3.20%"
"05/01/2021","346.30","341.00","349.00","332.00","3.17M","2.15%"
"06/01/2021","349.40","346.30","355.00","342.30","3.22M","0.90%"
"07/01/2021","379.30","349.40","380.00","346.00","2.95M","8.56%"
"08/01/2021","362.60","380.00","380.00","356.20","3.86M","-4.40%"
"09/01/2021","380.20","364.90","396.80","361.80","5.48M","4.85%"
"10/01/2021","358.50","380.20","384.80","347.00","3.81M","-5.71%"
"11/01/2021","348.30","359.00","364.70","346.00","1.67M","-2.85%"
"12/01/2021","349.50","359.00","363.00","346.60","1.63M","0.34%"
"01/01/2022","355.90","350.00","360.80","345.20","2.16M","1.83%"
"02/01/2022","340.00","356.90","359.50","336.00","1.68M","-4.47%"
"03/01/2022","328.90","340.00","342.80","315.00","2.21M","-3.26%"
"04/01/2022","319.90","328.90","329.90","316.00","2.12M","-2.74%"
"05/01/2022","307.10","320.10","323.00","300.00","2.27M","-4.00%"
"06/01/2022","294.10","308.00","314.50","294.10","2.67M","-4.23%"
"07/01/2022","294.30","288.30","296.70","277.00","4.27M","0.07%"
"08/01/2022","287.80","294.10","305.20","286.60","4.39M","-2.21%"
"09/01/2022","286.60","290.00","295.80","286.60","2.76M","-0.42%"
"10/01/2022","286.60","286.60","288.00","286.60","411.52K","0.00%"
"11/01/2022","286.60","286.60","286.60","286.60","62.91K","0.00%"
"12/01/2022","286.60","286.60","286.60","286.60","51.91K","0.00%"
"01/01/2023","286.60","286.60","286.60","286.60","102.82K","0.00%"
"02/01/2023","286.60","286.60","286.60","286.60","85.00K","0.00%"
"03/01/2023","286.60","286.60","286.60","286.60","44.15K","0.00%"
"04/01/2023","286.60","286.60","286.60","286.60","33.45K","0.00%"
"05/01/2023","286.60","286.60","286.60","286.60","79.59K","0.00%"
"06/01/2023","286.60","286.60","286.60","286.60","87.98K","0.00%"
"07/01/2023","286.60","286.60","286.60","286.60","80.07K","0.00%"
"08/01/2023","286.60","286.60","286.60","286.60","31.44K","0.00%"
"09/01/2023","286.60","286.60","286.60","286.60","21.96K","0.00%"
"10/01/2023","286.60","286.60","286.60","286.60","19.10K","0.00%"
"11/01/2023","286.60","286.60","286.60","286.60","16.48K","0.00%"
"12/01/2023","286.60","286.60","286.60","286.60","36.61K","0.00%"
"01/01/2024","286.60","286.60","286.60","286.60","48.19K","0.00%"
"02/01/2024","286.60","286.60","286.60","286.60","56.24K","0.00%"
"03/01/2024","237.80","265.80","265.80","235.00","5.28M","-17.03%"
"04/01/2024","235.80","242.80","244.00","229.80","1.64M","-0.84%"
"05/01/2024","223.50","236.00","241.90","222.20","2.35M","-5.22%"
"06/01/2024","247.70","226.90","248.40","221.00","2.18M","10.83%"
"07/01/2024","252.50","247.60","261.30","239.10","2.65M","1.94%"
"08/01/2024","344.00","254.70","387.00","247.20","26.94M","36.24%"
"09/01/2024","350.20","345.00","355.10","325.00","14.64M","1.80%"
"10/01/2024","314.20","351.90","355.00","301.00","6.40M","-10.28%"
"11/01/2024","319.70","315.00","333.00","308.20","4.79M","1.75%"
"12/01/2024","323.10","318.50","326.40","312.50","3.06M","1.06%"
"01/01/2025","335.40","323.50","340.00","321.40","4.22M","3.81%"
"02/01/2025","328.20","336.70","347.90","325.00","6.88M","-2.15%"
"03/01/2025","321.90","327.40","331.00","318.00","1.77M","-1.92%"
"04/01/2025","299.60","322.00","325.30","293.50","1.56M","-6.93%"
"05/01/2025","283.40","299.60","304.80","270.00","1.29M","-5.41%"
"06/01/2025","303.10","286.00","305.00","280.50","1.02M","6.95%"
"07/01/2025","313.00","302.40","328.00","296.00","3.49M","3.27%"
"08/01/2025","310.40","313.50","322.00","296.00","2.60M","-0.83%"
"09/01/2025","299.00","311.00","311.70","297.50","1.71M","-3.67%"
"10/01/2025","283.40","298.40","302.90","277.80","904.04K","-5.22%"
